Department /Ministry,Fund allotted(in â‚¹crores)
MINISTRY OF AGRICULTURE,138563.97
DEPARTMENT OF ATOMIC ENERGY,16925.51
"MINISTRY OF AYURVEDA, YOGA",1939.76
MINISTRY OF CHEMICALS AND FERTILISER,80534.16
MINISTRY OF CIVIL AVIATION,4500
MINISTRY OF COAL,1159.05
MINISTRY OF COMMERCE AND INDUSTRY,11893.83
MINISTRY OF COMMUNICATION,38637.46
MINISTRY OF CONSUMER AFFAIRS,194512.71
MINISTRY OF CORPORATE AFFAIRS,586.34
MINISTRY OF CULTURE,3042.35
MINISTRY OF DEFENCE,431010.79
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,3000
MINISTRY OF EARTH SCIENCES,1901.76
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,6654
"MINISTRY OF ENVIRONMENT, FOREST",2954.72
MINISTRY OF EXTERNAL AFFAIRS,17884.78
MINISTRY OF FINANCE,1005985.08
"MINISTRY OF FISHERIES, ANIMAL HUSBANDRY",3737
MINISTRY OF FOOD PROCESSING INDUSTRIES,1196.6
MINISTRY OF HEALTH AND FAMILY WELFARE,64559.12
MINISTRY OF HEAVY INDUSTRIES,1389.64
MINISTRY OF HOME AFFAIRS,119025.28
MINISTRY OF HOUSING AND URBAN AFFAIRS,48032.17
MINISTRY OF INFORMATION AND BROADCASTING,4375.21
MINISTRY OF JAL SHAKTI,28261.59
MINISTRY OF LABOUR AND EMPLOYMENT,11184.09
MINISTRY OF LAW AND JUSTICE,3611.25
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",7011.29
MINISTRY OF MINES,1675.55
MINISTRY OF MINORITY AFFAIR,4700
MINISTRY OF NEW AND RENEWABLE ENERGY,5254.83
MINISTRY OF PANCHAYATI RAJ,871.37
MINISTRY OF PARLIAMENTARY AFFAIRS,19.38
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",1762.14
MINISTRY OF PETROLEUM AND NATURAL GAS,42901.49
MINISTRY OF PLANNING,583.4
MINISTRY OF POWER,15874.82
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1593.25
MINISTRY OF RAILWAYS,68018.67
MINISTRY OF ROAD TRANSPORT AND HIGHWAY,83015.97
MINISTRY OF RURAL DEVELOPMENT,119874.43
MINISTRY OF SCIENCE AND TECHNOLOGY,13056.24
MINISTRY OF SKILL DEVELOPMENT,2989.21
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,10089.9
DEPARMENT OF SPACE,12473.26
MINISTRY OF STATISTICS,5231.06
MINISTRY OF STEEL,241.29
MINISTRY OF TEXTILES,4831.48
MINISTRY OF TOURISM,2189.22
MINISTRY OF TRIBAL AFFAIRS,6894.96
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,29164.9
MINISTRY OF YOUTH AFFAIRS AND SPORTS,2216.92
GRAND TOTAL,2689593.25
